"source","target","type","properties"
"187","420","follows","{""id"":791,""type"":""follows"",""start"":187,""end"":420,""properties"":{}}"
"187","151","collaborated_with","{""id"":793,""type"":""collaborated_with"",""start"":187,""end"":151,""properties"":{""notes"":""Ron investigated inman after his meeting with bob oechsler""}}"
"187","57","collaborated_with","{""id"":794,""type"":""collaborated_with"",""start"":187,""end"":57,""properties"":{""notes"":""Ron investigated Hineman after his meeting with bob oechsler""}}"
"188","143","part_of","{""id"":122,""type"":""part_of"",""start"":188,""end"":143,""properties"":{}}"
"188","519","subsidiary","{""id"":102,""type"":""subsidiary"",""start"":188,""end"":519,""properties"":{}}"
"188","304","subsidiary","{""id"":99,""type"":""subsidiary"",""start"":188,""end"":304,""properties"":{}}"
"188","174","subsidiary","{""id"":96,""type"":""subsidiary"",""start"":188,""end"":174,""properties"":{}}"
"188","22","developer","{""id"":76,""type"":""developer"",""start"":188,""end"":22,""properties"":{}}"
"188","410","has_part","{""id"":797,""type"":""has_part"",""start"":188,""end"":410,""properties"":{}}"
"191","188","founded_by","{""id"":3,""type"":""founded_by"",""start"":191,""end"":188,""properties"":{}}"
"191","175","founded_by","{""id"":2,""type"":""founded_by"",""start"":191,""end"":175,""properties"":{}}"
"191","146","facet_of","{""id"":801,""type"":""facet_of"",""start"":191,""end"":146,""properties"":{}}"
"191","152","main_subject","{""id"":800,""type"":""main_subject"",""start"":191,""end"":152,""properties"":{}}"
"193","211","founded_by","{""id"":112,""type"":""founded_by"",""start"":193,""end"":211,""properties"":{}}"
"193","213","collaborated_with","{""id"":111,""type"":""collaborated_with"",""start"":193,""end"":213,""properties"":{}}"
"193","198","studies","{""id"":110,""type"":""studies"",""start"":193,""end"":198,""properties"":{}}"
"194","172","has_part","{""id"":804,""type"":""has_part"",""start"":194,""end"":172,""properties"":{}}"
"195","99","facet_of","{""id"":805,""type"":""facet_of"",""start"":195,""end"":99,""properties"":{}}"
"199","472","has_part","{""id"":806,""type"":""has_part"",""start"":199,""end"":472,""properties"":{}}"
"201","289","position_held","{""id"":265,""type"":""position_held"",""start"":201,""end"":289,""properties"":{}}"
"201","23","employer","{""id"":231,""type"":""employer"",""start"":201,""end"":23,""properties"":{}}"
"201","26","employer","{""id"":232,""type"":""employer"",""start"":201,""end"":26,""properties"":{}}"
